INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
567094,800021234,PINE LAKE ESTATES,2012 Durst St,Nacogdoches,"Nacogdoches, TX Micropolitan Statistical Area",34860,Nacogdoches,347,TX,48,75964,31.60113,-94.676713,R,63,2/19/2016
567095,800021284,RIDGECREST TERRACE,526 Cold Town Ln,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75211,32.741015,-96.916231,R,45,4/8/2016
567096,800020894,FRIENDSHIP TOWER (CORSICANA),2512 W 7th Ave,Corsicana,"Corsicana, TX Micropolitan Statistical Area",18620,Navarro,349,TX,48,75110,32.080029,-96.488071,R,88,2/26/2016
567097,800021135,NORTHGATE VILLAGE APTS.,12303 Plano Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75243,32.914548,-96.700625,R,90,3/16/2016
567099,800235822,The Cottages at Spindletop,2835 S 8th St,Beaumont,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",13140,Jefferson,245,TX,48,77701,30.058813,-94.124511,R,95,3/1/2016
567100,800021085,Mathis Housing Authority,300 W Fulton St,Mathis,"Corpus Christi, TX Metropolitan Statistical Area",18580,San Patricio,409,TX,48,78368,28.097285,-97.828596,R,62,2/26/2016
567101,800232440,AHEPA DOP 54 PHASE II,8113 Creekbend Dr,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77071,29.665301,-95.523495,R,99,3/11/2016
567102,800020970,BARAK APARTMENTS,285 S Center St,Tenaha,,99999,Shelby,419,TX,48,75974,31.941701,-94.242178,R,70,3/10/2016
567104,800074139,"ACCESSIBLE HOMES, INC.",6112 Walraven Cir,Fort Worth,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76133,32.659126,-97.398587,R,64,1/22/2016
567105,800020831,DUNCANVILLE INDEPENDENT LIVING,,DUNCANVILLE,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75116,32.659839,-96.915527,R,96,2/18/2016
567106,800020888,FOWLER CHRISTIAN APARTMENTS,105 Juliette Fowler St,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75214,32.803854,-96.753428,R,92,2/29/2016
567107,800020962,HILLSIDE,205 W Whaley St,Longview,"Longview, TX Metropolitan Statistical Area",30980,Gregg,183,TX,48,75601,32.498378,-94.741547,R,99,3/9/2016
567109,800021413,"FORT WORTH VOA LIVING CENTER, INC.",2008 Oakwood Ct,Arlington,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76012,32.738839,-97.141901,R,77,1/21/2016
567110,800021395,Sunrise Villa,782 S Saunders St,Seguin,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Guadalupe,187,TX,48,78155,29.561912,-97.970801,R,78,2/4/2016
567111,800021175,Orange Grove Housing Associates,700 Thiel,Orange Grove,"Alice, TX Micropolitan Statistical Area",10860,Jim Wells,249,TX,48,78372,27.956338,-97.946498,R,89,2/26/2016
567112,800112209,"MEADOWS OF WESLEY VILLAGE, THE",2800 Loy Lake Rd,Denison,"Sherman-Denison, TX Metropolitan Statistical Area",43300,Grayson,181,TX,48,75020,33.732762,-96.578752,R,98,2/2/2016
567113,800215222,VILLAS AT BAYOU PARK APARTMENTS,10955 Kipp Way Dr,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77099,29.671044,-95.570482,R,88,2/8/2016
567115,800021076,MABANK HOUSING AUTHORITY,200 E Jack St,Mabank,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Kaufman,257,TX,48,75147,32.371321,-96.097658,R,96,2/22/2016
567116,800073849,PEOPLES EL SHADDAI VILLAGE,2836 E Overton Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75216,32.713657,-96.779064,R,81,3/2/2016
567117,800021415,TEAGUE HOUSING AUTHORITY,102 Spruce St,Teague,,99999,Freestone,161,TX,48,75860,31.632323,-96.286942,R,74,2/16/2016
567118,800020663,ARLINGTON VOA LIVING CENTER,2310 Sharpshire Ln,Arlington,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76014,32.687964,-97.068113,R,98,1/21/2016
567119,800021278,Refugio Apartments,405 Osage St,Refugio,,99999,Refugio,391,TX,48,78377,28.301373,-97.273099,R,63,2/11/2016
567122,800217754,VOA APPLETREE/DALGREEN COMMUNITY HOMES,917 Apple Tree Ct,Irving,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75061,32.823776,-96.931495,R,98,2/1/2016
567123,800074421,RAINBOW VILLAGE,6300 Corporate Dr,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77036,29.709501,-95.551702,R,83,2/5/2016
567125,800021330,SEAGOVILLE SENIOR CITIZENS HOME,205 Mathis St,Seagoville,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75159,32.646565,-96.551307,R,84,2/17/2016
567126,800222859,Umphress Terrace,7242 Umphress Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75217,32.741348,-96.69664,R,89,3/15/2016
567129,800021467,"Vaqueros Apartments, Ltd",305 W 2nd St,San Diego,,99999,Duval,131,TX,48,78384,27.757708,-98.24298,R,78,1/27/2016
567130,800020665,Arrowsmith Apartments,5701 Williams Dr,Corpus Christi,"Corpus Christi, TX Metropolitan Statistical Area",18580,Nueces,355,TX,48,78412,27.703284,-97.369744,R,96,2/12/2016
567132,800021418,TEJAS COVE ak NCR OF BAY CITY,1900 Palm Village Blvd,Bay City,"Bay City, TX Micropolitan Statistical Area",13060,Matagorda,321,TX,48,77414,28.95703,-95.965826,R,90,3/12/2016
567133,800020700,BOYD SOUTH,400 S Allen St,Boyd,"Fort Worth-Arlington, TX Metropolitan Division",23104,Wise,497,TX,48,76023,33.075538,-97.565328,R,55,2/2/2016
567136,800241797,Aloysius A. Ochoa Apartments (RAD),8820 Old County Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79907,31.695783,-106.333789,R,89,1/27/2016
567137,800021342,SIERRA VISTA,10501 Montwood Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79935,31.772321,-106.336468,R,91,3/3/2016
567138,800241801,Juan Hart Memorial Apartments (RAD),4861 Atlas Ave,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79904,31.851974,-106.42801,R,86,1/26/2016
567139,800021003,King Manor,1700 E Kenedy Ave,Kingsville,"Kingsville, TX Micropolitan Statistical Area",28780,Kleberg,273,TX,48,78363,27.514937,-97.844923,R,81,2/5/2016
567140,800020781,Coastal Haven,4710 Middlecoff Rd,Corpus Christi,"Corpus Christi, TX Metropolitan Statistical Area",18580,Nueces,355,TX,48,78413,27.691215,-97.401376,R,84,3/31/2016
567142,800020736,Casa De Manana,4702 Old Brownsville Rd,Corpus Christi,"Corpus Christi, TX Metropolitan Statistical Area",18580,Nueces,355,TX,48,78405,27.766303,-97.446597,R,86,1/12/2016
567143,800241798,Kennedy Communities (RAD),400 S Zaragoza Rd,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79907,31.685544,-106.331888,R,89,2/3/2016
567144,800217812,WESTOVER COVE APARTMENTS,2200 Mustang Rd,Alvin,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Brazoria,039,TX,48,77511,29.405008,-95.242204,R,99,3/4/2016
567145,800241793,Harry S. Truman Apartments (RAD),7919 Meraz Ave,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79907,31.745885,-106.344601,R,75,1/25/2016
567148,800241802,Lt. Palmer Baird Memorial Apartments (RAD),4747 Atlas Ave,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79904,31.851902,-106.431842,R,76,1/19/2016
567150,800241791,"Rafael Marmolejo, Jr. Apartments (RAD)",600 N Carolina Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79915,31.742617,-106.361799,R,74,3/2/2016
567156,800241794,J.E. Anderson Apartments (RAD),741 Lafayette Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79907,31.735293,-106.343123,R,80,1/27/2016
