STATE,COUNTY,RISK_VALUE,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE
Texas,McCulloch,1589349.584,9.990454979,Very Low,77.81999969,Relatively High,35.38999939,Relatively Low,0.6496062992,2.539030075,1.320704652
Texas,McLennan,46910034.05,90.39134585,Relatively Moderate,91.44000244,Very High,55.72999954,Relatively Moderate,0.8858267717,2.620079994,1.29479061
Texas,McMullen,475943.7393,1.718103723,Very Low,72.01999664,Relatively High,18.45999908,Very Low,0.3937007874,2.464745998,1.425833821
Texas,Madison,5663281.054,46.42061724,Very Low,83.19999695,Very High,9.069999695,Very Low,0.2401574803,2.41030097,1.447007138
Texas,Marion,2043644.812,14.38116449,Very Low,70.43000031,Relatively High,17.95000076,Very Low,0.3818897638,2.462958097,1.372615605
Texas,Martin,2843405.979,21.88991409,Very Low,39.31000137,Relatively Low,21.61000061,Relatively Low,0.4488188976,2.481730938,1.181425289
Texas,Mason,1529981.013,9.385937003,Very Low,43.72999954,Relatively Moderate,36.81999969,Relatively Low,0.6771653543,2.545150042,1.185099681
Texas,Matagorda,43973638.81,89.78682787,Relatively Moderate,93.41000366,Very High,44.97000122,Relatively Moderate,0.7913385827,2.576448917,1.349061349
Texas,Maverick,8557592.081,60.16544703,Relatively Low,98.22000122,Very High,0.7300000191,Very Low,0.03149606299,2.237704992,1.887922638
Texas,Medina,12471390.75,70.95132039,Relatively Low,74.62999725,Relatively High,31,Relatively Low,0.5826771654,2.521842003,1.254019069
Texas,Menard,1448919.575,8.367801464,Very Low,77.01999664,Relatively High,3.849999905,Very Low,0.125984252,2.351727009,1.597710609
Texas,Midland,36851038.74,88.3868915,Relatively Moderate,66.13999939,Relatively High,30.32999992,Relatively Low,0.5708661417,2.518878937,1.152801071
Texas,Milam,7856690.064,57.81100859,Relatively Low,88.05999756,Very High,32.36999893,Relatively Low,0.6102362205,2.526648045,1.460401296
Texas,Mills,1178750.702,6.522430799,Very Low,59.93000031,Relatively Moderate,32.04999924,Relatively Low,0.5984251969,2.525998116,1.26213478
Texas,Mitchell,4081287.997,34.61660834,Very Low,56.56000137,Relatively Moderate,14.31999969,Very Low,0.3464566929,2.444595098,1.357740542
Texas,Montague,8882175.543,61.05631562,Relatively Low,67.76000214,Relatively High,28.42000008,Relatively Low,0.5275590551,2.51078701,1.232552536
Texas,Montgomery,152092453.2,96.72287623,Relatively High,52.93000031,Relatively Moderate,38.56999969,Relatively Low,0.7125984252,2.551839113,1.068129808
Texas,Moore,11212377.43,67.92873051,Relatively Low,80.01000214,Very High,10.14999962,Very Low,0.2559055118,2.418526888,1.342823274
