source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2013thru2017,50,05000US48419,"Shelby County, Texas",48,419,9220,6580,4980,4300,450,205,25,865,660,110,90,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,730,615,60,50,0,4,4,0,0,0,2640,1495,825,250,300,115,835,350,285,170,35,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,280,205,55,20,0,10,10,0,4,0,297,322,278,267,152,67,20,144,142,59,64,9,25,25,25,25,25,2,2,25,25,25,25,25,25,25,25,151,139,49,45,25,2,2,25,25,25,311,226,191,140,144,91,220,129,123,152,28,28,28,25,25,25,25,25,25,25,25,25,25,25,25,25,106,86,51,22,25,16,15,25,7,25
2013thru2017,50,05000US48421,"Sherman County, Texas",48,421,1065,860,640,560,55,20,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,215,175,35,4,0,0,0,0,0,0,205,90,55,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,75,10,25,0,0,0,0,0,0,63,73,79,80,38,20,6,13,13,13,13,13,13,13,13,13,13,12,13,12,13,13,13,13,13,13,13,46,46,27,9,13,13,13,13,13,13,53,34,24,26,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,45,36,17,22,13,13,13,13,13,13
2013thru2017,50,05000US48423,"Smith County, Texas",48,423,77800,51275,38220,31470,3750,2520,485,6100,4310,950,755,80,550,425,65,30,30,195,140,35,15,0,0,0,0,0,0,5860,4640,775,375,70,355,280,55,15,0,26525,15195,8860,3480,2765,90,6865,2875,1695,1980,310,545,310,135,100,0,105,75,10,0,20,40,0,40,0,0,3615,1840,895,845,35,165,125,10,30,0,842,991,787,842,455,368,225,451,418,196,215,57,144,131,69,34,47,89,74,42,29,31,31,31,31,31,31,407,398,220,168,60,105,108,45,18,31,940,797,713,481,358,100,512,385,298,269,135,148,120,92,48,31,65,53,14,31,34,57,31,57,31,31,391,312,218,245,40,73,69,16,30,31
2013thru2017,50,05000US48425,"Somervell County, Texas",48,425,3235,2390,2045,1645,205,165,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,180,85,35,0,50,4,40,0,0,845,680,410,105,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,55,70,20,0,15,15,0,0,0,208,223,184,233,127,107,46,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,80,75,61,53,19,67,12,66,19,19,203,205,176,69,118,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,93,68,71,33,19,26,26,19,19,19
2013thru2017,50,05000US48427,"Starr County, Texas",48,427,16320,12135,110,95,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,12015,9935,1205,790,85,0,0,0,0,0,4185,20,20,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4155,2300,1005,815,40,0,0,0,0,0,410,510,81,75,21,31,31,31,31,31,31,31,31,31,31,31,31,15,31,31,15,31,31,31,31,31,31,513,448,262,176,50,31,31,31,31,31,365,31,31,31,31,31,31,31,31,31,31,8,31,31,8,31,31,31,31,31,31,31,31,31,31,31,365,324,229,184,37,31,31,31,31,31
2013thru2017,50,05000US48429,"Stephens County, Texas",48,429,3360,2655,2165,1765,250,155,0,45,4,0,40,0,4,0,0,4,0,10,10,0,0,0,0,0,0,0,0,405,310,75,25,0,25,25,0,0,0,710,540,365,115,50,10,55,35,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,70,4,0,4,4,4,0,0,0,216,177,178,159,71,82,19,33,15,19,30,19,5,19,19,5,19,14,14,19,19,19,19,19,19,19,19,108,109,44,32,19,28,28,19,19,19,152,132,106,52,40,15,55,51,19,29,19,34,34,19,19,19,19,19,19,19,19,19,19,19,19,19,59,57,6,19,17,15,15,19,19,19
2013thru2017,50,05000US48431,"Sterling County, Texas",48,431,460,395,245,195,30,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,10,10,0,0,0,70,25,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,73,74,53,50,25,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,66,66,13,13,13,14,14,13,13,13,38,20,18,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,37,37,13,13,13,13,13,13,13,13
2013thru2017,50,05000US48433,"Stonewall County, Texas",48,433,460,350,275,240,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,20,4,0,0,0,0,0,0,110,75,65,4,4,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,69,54,43,52,15,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,35,35,17,2,13,13,13,13,13,13,36,32,29,14,13,13,29,29,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2,2,13,13,13
2013thru2017,50,05000US48435,"Sutton County, Texas",48,435,1575,1075,475,380,55,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,430,120,40,0,10,10,0,0,0,500,235,175,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,0,0,0,0,0,0,0,0,109,128,110,93,45,37,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,111,103,59,28,13,15,15,13,13,13,122,81,60,41,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,101,101,13,13,13,13,13,13,13,13
2013thru2017,50,05000US48437,"Swisher County, Texas",48,437,2600,1815,1170,955,120,85,4,45,20,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,490,55,35,0,20,15,4,0,0,790,330,220,60,35,20,80,10,65,0,10,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,340,170,90,80,0,25,25,0,4,0,142,125,85,69,51,40,12,39,16,16,28,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,83,93,50,28,19,15,14,10,19,19,129,75,65,38,28,23,37,18,34,19,16,4,4,19,19,19,13,13,19,19,19,19,19,19,19,19,104,93,72,66,19,30,30,19,4,19
